matchnumber,roundnumber,date,location,group,homeaway,team,goals,penalties,ycards,rcards,fouls
1,1,20/11/2022 16:00,Al Bayt Stadium,Group A,hometeam,Qatar,0,0,4,0,15
1,1,20/11/2022 16:00,Al Bayt Stadium,Group A,awayteam,Ecuador,2,1,2,0,15
2,1,21/11/2022 16:00,Al Thumama Stadium,Group A,hometeam,Senegal,0,0,2,0,13
2,1,21/11/2022 16:00,Al Thumama Stadium,Group A,awayteam,Netherlands,2,0,1,0,13
3,1,21/11/2022 13:00,Khalifa International Stadium,Group B,hometeam,England,6,0,0,0,9
3,1,21/11/2022 13:00,Khalifa International Stadium,Group B,awayteam,Iran,2,1,2,0,14
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,Group B,hometeam,USA,1,0,4,0,15
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,Group B,awayteam,Wales,1,1,2,0,10
5,1,22/11/2022 19:00,Al Janoub Stadium,Group D,hometeam,France,4,0,0,0,5
5,1,22/11/2022 19:00,Al Janoub Stadium,Group D,awayteam,Australia,1,0,3,0,11
6,1,22/11/2022 13:00,Education City Stadium,Group D,hometeam,Denmark,0,0,2,0,9
6,1,22/11/2022 13:00,Education City Stadium,Group D,awayteam,Tunisia,0,0,1,0,10
7,1,22/11/2022 16:00,Stadium 974,Group C,hometeam,Mexico,0,0,2,0,14
7,1,22/11/2022 16:00,Stadium 974,Group C,awayteam,Poland,0,0,1,0,16
8,1,22/11/2022 10:00,Lusail Stadium,Group C,hometeam,Argentina,1,1,0,0,7
8,1,22/11/2022 10:00,Lusail Stadium,Group C,awayteam,Saudi Arabia,2,0,6,0,21
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Group F,hometeam,Belgium,1,0,3,0,11
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Group F,awayteam,Canada,0,0,2,0,14
10,1,23/11/2022 16:00,Al Thumama Stadium,Group E,hometeam,Spain,7,1,0,0,8
10,1,23/11/2022 16:00,Al Thumama Stadium,Group E,awayteam,Costa Rica,0,0,2,0,12
11,1,23/11/2022 13:00,Khalifa International Stadium,Group E,hometeam,Germany,1,1,0,0,6
11,1,23/11/2022 13:00,Khalifa International Stadium,Group E,awayteam,Japan,2,0,0,0,14
12,1,23/11/2022 10:00,Al Bayt Stadium,Group F,hometeam,Morocco,0,0,1,0,17
12,1,23/11/2022 10:00,Al Bayt Stadium,Group F,awayteam,Croatia,0,0,0,0,11
13,1,24/11/2022 10:00,Al Janoub Stadium,Group G,hometeam,Switzerland,1,0,2,0,12
13,1,24/11/2022 10:00,Al Janoub Stadium,Group G,awayteam,Cameroon,0,0,1,0,10
14,1,24/11/2022 13:00,Education City Stadium,Group H,hometeam,Uruguay,0,0,1,0,7
14,1,24/11/2022 13:00,Education City Stadium,Group H,awayteam,Korea Republic,0,0,1,0,10
15,1,24/11/2022 16:00,Stadium 974,Group H,hometeam,Portugal,3,1,2,0,14
15,1,24/11/2022 16:00,Stadium 974,Group H,awayteam,Ghana,2,0,4,0,19
16,1,24/11/2022 19:00,Lusail Stadium,Group G,hometeam,Brazil,2,0,0,0,7
16,1,24/11/2022 19:00,Lusail Stadium,Group G,awayteam,Serbia,0,0,3,0,12
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Group B,hometeam,Wales,0,0,1,1,9
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Group B,awayteam,Iran,2,0,2,0,10
18,2,25/11/2022 13:00,Al Thumama Stadium,Group A,hometeam,Qatar,1,0,3,0,7
18,2,25/11/2022 13:00,Al Thumama Stadium,Group A,awayteam,Senegal,3,0,3,0,12
19,2,25/11/2022 16:00,Khalifa International Stadium,Group A,hometeam,Netherlands,1,0,0,0,15
19,2,25/11/2022 16:00,Khalifa International Stadium,Group A,awayteam,Ecuador,1,0,1,0,12
20,2,25/11/2022 19:00,Al Bayt Stadium,Group B,hometeam,England,0,0,0,0,9
20,2,25/11/2022 19:00,Al Bayt Stadium,Group B,awayteam,USA,0,0,0,0,15
21,2,26/11/2022 10:00,Al Janoub Stadium,Group D,hometeam,Tunisia,0,0,3,0,16
21,2,26/11/2022 10:00,Al Janoub Stadium,Group D,awayteam,Australia,1,0,0,0,15
22,2,26/11/2022 13:00,Education City Stadium,Group C,hometeam,Poland,2,0,3,0,18
22,2,26/11/2022 13:00,Education City Stadium,Group C,awayteam,Saudi Arabia,0,0,2,0,15
23,2,26/11/2022 16:00,Stadium 974,Group D,hometeam,France,2,0,1,0,4
23,2,26/11/2022 16:00,Stadium 974,Group D,awayteam,Denmark,1,0,2,0,9
24,2,26/11/2022 19:00,Lusail Stadium,Group C,hometeam,Argentina,2,0,2,0,15
24,2,26/11/2022 19:00,Lusail Stadium,Group C,awayteam,Mexico,0,0,4,0,19
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Group E,hometeam,Japan,0,0,3,0,22
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Group E,awayteam,Costa Rica,1,0,3,0,9
26,2,27/11/2022 13:00,Al Thumama Stadium,Group F,hometeam,Belgium,0,0,1,0,10
26,2,27/11/2022 13:00,Al Thumama Stadium,Group F,awayteam,Morocco,2,0,1,0,14
27,2,27/11/2022 16:00,Khalifa International Stadium,Group F,hometeam,Croatia,NA,NA,NA,NA,NA
27,2,27/11/2022 16:00,Khalifa International Stadium,Group F,awayteam,Canada,NA,NA,NA,NA,NA
28,2,27/11/2022 19:00,Al Bayt Stadium,Group E,hometeam,Spain,NA,NA,NA,NA,NA
28,2,27/11/2022 19:00,Al Bayt Stadium,Group E,awayteam,Germany,NA,NA,NA,NA,NA
29,2,28/11/2022 10:00,Al Janoub Stadium,Group G,hometeam,Cameroon,NA,NA,NA,NA,NA
29,2,28/11/2022 10:00,Al Janoub Stadium,Group G,awayteam,Serbia,NA,NA,NA,NA,NA
30,2,28/11/2022 13:00,Education City Stadium,Group H,hometeam,Korea Republic,NA,NA,NA,NA,NA
30,2,28/11/2022 13:00,Education City Stadium,Group H,awayteam,Ghana,NA,NA,NA,NA,NA
31,2,28/11/2022 16:00,Stadium 974,Group G,hometeam,Brazil,NA,NA,NA,NA,NA
31,2,28/11/2022 16:00,Stadium 974,Group G,awayteam,Switzerland,NA,NA,NA,NA,NA
32,2,28/11/2022 19:00,Lusail Stadium,Group H,hometeam,Portugal,NA,NA,NA,NA,NA
32,2,28/11/2022 19:00,Lusail Stadium,Group H,awayteam,Uruguay,NA,NA,NA,NA,NA
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Group B,hometeam,Wales,NA,NA,NA,NA,NA
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Group B,awayteam,England,NA,NA,NA,NA,NA
34,3,29/11/2022 19:00,Al Thumama Stadium,Group B,hometeam,Iran,NA,NA,NA,NA,NA
34,3,29/11/2022 19:00,Al Thumama Stadium,Group B,awayteam,USA,NA,NA,NA,NA,NA
35,3,29/11/2022 15:00,Khalifa International Stadium,Group A,hometeam,Ecuador,NA,NA,NA,NA,NA
35,3,29/11/2022 15:00,Khalifa International Stadium,Group A,awayteam,Senegal,NA,NA,NA,NA,NA
36,3,29/11/2022 15:00,Al Bayt Stadium,Group A,hometeam,Netherlands,NA,NA,NA,NA,NA
36,3,29/11/2022 15:00,Al Bayt Stadium,Group A,awayteam,Qatar,NA,NA,NA,NA,NA
37,3,30/11/2022 15:00,Al Janoub Stadium,Group D,hometeam,Australia,NA,NA,NA,NA,NA
37,3,30/11/2022 15:00,Al Janoub Stadium,Group D,awayteam,Denmark,NA,NA,NA,NA,NA
38,3,30/11/2022 15:00,Education City Stadium,Group D,hometeam,Tunisia,NA,NA,NA,NA,NA
38,3,30/11/2022 15:00,Education City Stadium,Group D,awayteam,France,NA,NA,NA,NA,NA
39,3,30/11/2022 19:00,Stadium 974,Group C,hometeam,Poland,NA,NA,NA,NA,NA
39,3,30/11/2022 19:00,Stadium 974,Group C,awayteam,Argentina,NA,NA,NA,NA,NA
40,3,30/11/2022 19:00,Lusail Stadium,Group C,hometeam,Saudi Arabia,NA,NA,NA,NA,NA
40,3,30/11/2022 19:00,Lusail Stadium,Group C,awayteam,Mexico,NA,NA,NA,NA,NA
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Group F,hometeam,Croatia,NA,NA,NA,NA,NA
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Group F,awayteam,Belgium,NA,NA,NA,NA,NA
42,3,01/12/2022 15:00,Al Thumama Stadium,Group F,hometeam,Canada,NA,NA,NA,NA,NA
42,3,01/12/2022 15:00,Al Thumama Stadium,Group F,awayteam,Morocco,NA,NA,NA,NA,NA
43,3,01/12/2022 19:00,Khalifa International Stadium,Group E,hometeam,Japan,NA,NA,NA,NA,NA
43,3,01/12/2022 19:00,Khalifa International Stadium,Group E,awayteam,Spain,NA,NA,NA,NA,NA
44,3,01/12/2022 19:00,Al Bayt Stadium,Group E,hometeam,Costa Rica,NA,NA,NA,NA,NA
44,3,01/12/2022 19:00,Al Bayt Stadium,Group E,awayteam,Germany,NA,NA,NA,NA,NA
45,3,02/12/2022 15:00,Al Janoub Stadium,Group H,hometeam,Ghana,NA,NA,NA,NA,NA
45,3,02/12/2022 15:00,Al Janoub Stadium,Group H,awayteam,Uruguay,NA,NA,NA,NA,NA
